==	mark_PHOTO_SRC
-210000	-240500
210000	-240500
-210000	0
210000	0
-210000	240500
210000	240500
==	mark_photo_aa_A2G_L
-191110	-212130
-122610	-212130
127290	-212130
-191110	2870
-122610	2870
127290	2870
-191110	217870
-122610	217870
127290	217870
==	mark_photo_aa_A2G_R
122610	-212130
191110	-212130
122610	2870
191110	2870
122610	217870
191110	217870
==	mark_photo_aa_D2G_L
-191070	-213770
-122570	-213770
127330	-213770
-191070	1230
-122570	1230
127330	1230
-191070	216230
-122570	216230
127330	216230
==	mark_photo_aa_D2G_R
122570	-213770
191070	-213770
122570	1230
191070	1230
122570	216230
191070	216230
==	mark_photo_aa_I2G_L
-191090	-212950
-122590	-212950
127310	-212950
-191090	2050
-122590	2050
127310	2050
-191090	217050
-122590	217050
127310	217050
==	mark_photo_aa_I2G_R
122590	-212950
191090	-212950
122590	2050
191090	2050
122590	217050
191090	217050
==	mark_photo_aa_O2G_L
-191050	-217870
-122550	-217870
127350	-217870
-191050	-2870
-122550	-2870
127350	-2870
-191050	212130
-122550	212130
127350	212130
==	mark_photo_aa_O2G_R
122550	-217870
191050	-217870
122550	-2870
191050	-2870
122550	212130
191050	212130
==	mark_photo_aa_O2D_L
-191030	-217050
-122530	-217050
127370	-217050
-191030	-2050
-122530	-2050
127370	-2050
-191030	212950
-122530	212950
127370	212950
==	mark_photo_aa_O2D_R
122530	-217050
191030	-217050
122530	-2050
191030	-2050
122530	212950
191030	212950
==	mark_photo_aa_I2D_L
-191010	-216230
-122510	-216230
127390	-216230
-191010	-1230
-122510	-1230
127390	-1230
-191010	213770
-122510	213770
127390	213770
==	mark_photo_aa_I2D_R
122510	-216230
191010	-216230
122510	-1230
191010	-1230
122510	213770
191010	213770
==	mark_photo_aa_P2G_L
-191030	-215410
-122530	-215410
127370	-215410
-191030	-410
-122530	-410
127370	-410
-191030	214590
-122530	214590
127370	214590
==	mark_photo_aa_P2G_R
122530	-215410
191030	-215410
122530	-410
191030	-410
122530	214590
191030	214590
==	mark_photo_aa_P2D_L
-191050	-214590
-122550	-214590
127350	-214590
-191050	410
-122550	410
127350	410
-191050	215410
-122550	215410
127350	215410
==	mark_photo_aa_P2D_R
122550	-214590
191050	-214590
122550	410
191050	410
122550	215410
191050	215410
==	Panel_ID
-188605	-188050
-120125	-188050
-59645	-188050
835	-188050
61315	-188050
129795	-188050
-188605	-150900
-120125	-150900
-59645	-150900
835	-150900
61315	-150900
129795	-150900
-188605	-113750
-120125	-113750
-59645	-113750
835	-113750
61315	-113750
129795	-113750
-188605	-76600
-120125	-76600
-59645	-76600
835	-76600
61315	-76600
129795	-76600
-188605	-39450
-120125	-39450
-59645	-39450
835	-39450
61315	-39450
129795	-39450
-188605	-2300
-120125	-2300
-59645	-2300
835	-2300
61315	-2300
129795	-2300
-188605	34850
-120125	34850
-59645	34850
835	34850
61315	34850
129795	34850
-188605	72000
-120125	72000
-59645	72000
835	72000
61315	72000
129795	72000
-188605	109150
-120125	109150
-59645	109150
835	109150
61315	109150
129795	109150
-188605	146300
-120125	146300
-59645	146300
835	146300
61315	146300
129795	146300
-188605	183450
-120125	183450
-59645	183450
835	183450
61315	183450
129795	183450
-188605	220600
-120125	220600
-59645	220600
835	220600
61315	220600
129795	220600
